registryIndex	command	handlerEntry	cohort	logicalArity	inputs	outputType	outputVtable	effects	ordering	edgeFailure	callGraphSummary	sourceAnchorIds	remainingUnknowns	cheapestFalsifier	grade	semanticGrade	tier2Name	identityScope	originalCppIdentity	commonCallableShape	commonThisTypeBoundary	priorSemanticRowSha256	refinementStatus	refinementFlags
103	GetTarget	0x005366c0	E_TARGET_QUERIES	0	No script arguments. If target flags+0x34 bit 0x10 is set, calls target primary slot 81 (+0x144); otherwise uses null.	thing-pointer	0x005e4df8	Allocates an 8-byte pointer wrapper. For a nonnull returned thing, lazily allocates/initializes a 0x10 pointer-reference set at thing+0x04, adds the wrapper payload address to its head, then publishes the wrapper. One pinned CBattleEngine slot-81 override advances a target index before selecting lock-list entries.	Optional dynamic target query; outer wrapper allocation; payload store; optional reference-set allocation/init/store; AddToHead; final vtable write; publish out.	Outer allocation failure stores null after the dynamic query. If the inner set allocation fails, thing+0x04 is set null and AddToHead is still called with null. Null query values are boxed without reference registration.	Target primary slot 81 GetCurrentTarget; outer and optional inner allocator; CSPtrSet Init; CSPtrSet AddToHead.	SRC_BE_CURRENT_TARGET	Complete slot-81 override population, lock-selection runtime behavior, inner-allocation failure outcome, and original handler spelling.	Enumerate copied target vtables; force null/non-null query results and outer/inner allocation failures while observing slot side effects, thing+0x04, and wrapper registration.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetTarget	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	b515ade1733f12b7f364fda1ce5cce93f87d4856487cc9ad11c5449d1336a635	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
104	Normalise	0x00534500	D_VECTOR_NUMERIC	1	argv[0] 16-byte vector via slot 0x44. The getter receives the address of a 16-byte local output buffer; its return value is ignored.	vector	0x005e4da4	Computes sqrt(x*x+y*y+z*z) from the local buffer. If the x87 comparison is neither equal-to-zero nor unordered, scales local x/y/z by 1/magnitude. It copies all four local dwords, including the unchanged fourth input dword, into a new 0x14-byte vector wrapper.	Pass local-buffer address to the vector getter; compute magnitude; optionally scale three local components; allocate wrapper; copy four local dwords; publish out.	No local guard protects argv, argv[0], or the getter dispatch. The body does not dereference a vector pointer returned by the getter. Zero and NaN/unordered magnitudes skip scaling; infinity takes the scaling path. Allocation failure stores null in out.	VM vector getter writes a caller-provided local buffer; 0x0053457B -> 0x005490E0 allocator.	-	Authored use of the fourth word, exact VM vector type provenance, runtime x87 control word, and original handler spelling.	Call with zero, unit, nonunit, denormal, NaN, and infinity vectors carrying a fourth-word sentinel; capture raw result bytes and x87 status.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__Normalise	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	6567b7e5e84dc57cbb302539bed752ce9caaa83bde683e420ed28e9a7b934e69	CORRECTED_AUDIT_FINDING	LOCAL_OUTPUT_BUFFER;UNGUARDED_ARGUMENT_GETTER;NO_RETURNED_POINTER_DEREFERENCE
107	IsFiring	0x00535b50	E_TARGET_QUERIES	0	No script arguments. Requires target flags+0x34 bit 0x10.	bool	0x005e4d50	Returns false when the gate is clear. Otherwise 0x004FD760 walks target+0x17C and returns true for the first linked unit with nonnull +0xA0 profile, nonzero +0x6C timeout, and timeout < profile+0x44. This is not the pinned CBattleEngine::IsFiring walker/jet dispatch.	Default false; optional linked-list predicate; canonicalize; allocate bool wrapper; publish out.	No cycle or corrupt-node guard is visible. Allocation failure stores null after the scan.	0x00535B5C -> 0x004FD760 CUnit__HasAnyLinkedUnitBeforeTargetTimeout -> 0x0050A290 timeout/profile predicate; allocator at 0x00535B76.	-	Why the command is named IsFiring, exact list/timeout semantics, authored usage, and original handler spelling.	Probe copied list entries varying +0xA0, +0x6C, and profile+0x44; separately compare the actual CBattleEngine::IsFiring result to refute accidental equivalence.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__IsFiring	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	577128112c870ed29c43c9576ec55216fdbd728c824125345abffcea6e76bc86	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
109	SetSegmentVulnerable	0x00534300	C_SEGMENTS	2	argv[0] string via CDataType slot 0x38; argv[1] bool-like low byte via slot 0x3C. Requires target flags+0x34 bit 0x10 and nonnull target+0x178 controller.	none	-	The callee resolves a named mesh part, reads part+0x88, uses it directly against the controller+0x04 segment-pointer array, writes the low-byte flag to segment+0x1C, and optionally recomputes controller+0x18.	Target/controller gates; decode argv[1] before argv[0]; mesh/name lookup; unchecked part+0x88 array index; null-entry test; +0x1C write; optional metric recomputation.	Failed wrapper gates and null render interface/root mesh are silent. Missing name or a null selected segment prints a fatal error. The callee does not compare part+0x88 with controller+0x08 before reading controllerArray[index]; the later null test is not a bounds check.	VM bool getter; VM string getter; 0x00534333 -> 0x004445B0 CDestructableSegmentsController__SetSegmentActiveFlagByName, which calls mesh lookup and optional recursive metric summation.	-	Concrete names for segment+0x1C/controller+0x18, validity guarantee for mesh part+0x88, out-of-range runtime consequence, and original handler spelling.	On a copied destructible unit, toggle one valid name with bytes 0, 1, and 2; then probe a missing name while recording +0x1C, controller+0x18, and the fatal log.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetSegmentVulnerable	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	05894713ec6584c38a346b1607de71c63f57be8110723456cf9f639e5cc75a25	CORRECTED_AUDIT_FINDING	MESH_PART_88_INDEX;NO_LOCAL_CONTROLLER_COUNT_CHECK
112	SwitchMessagesOn	0x005342c0	A_GLOBAL_UI	0	No script arguments. Uses global CMessageBox-shaped pointer 0x008A9D84.	none	-	If the global is nonnull, 0x004B7B60 writes receiver+0x2C0=1 and continues into the queued-message advance routine; that routine advances only under its own idle/ready/armed gates.	Null test, set queue-advance flag, then attempt queue advancement.	A null global is a silent no-op. The registry label does not prove a general messages-enabled mode.	0x005342CA -> 0x004B7B60 CMessageBox__RequestQueueAdvance -> 0x004B7B80 CMessageBox__TryAdvanceQueuedMessage.	-	Runtime queue states, UI ownership, original handler spelling, and whether authored scripts use the broader label literally.	In a copied runtime, capture +0x2C0 and active/queued message fields before and after the command in null, idle, busy, and not-ready states.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SwitchMessagesOn	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	c00499faef7f1e77fe1e980922e19c1260ab27d32bc15d63382ea4fa7b17bb03	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
113	SwitchMessagesOff	0x005342e0	A_GLOBAL_UI	0	No script arguments. Uses global CMessageBox-shaped pointer 0x008A9D84.	none	-	If the global is nonnull, 0x004B7B70 writes receiver+0x2C0=0 and returns.	Null test, then one flag clear.	A null global is a silent no-op. No queued or active message is removed by the visible body.	0x005342EA -> 0x004B7B70 CMessageBox__ClearQueueAdvanceFlag.	-	Runtime UI meaning of +0x2C0, original handler spelling, and reconstruction parity.	In a copied runtime with an armed queue, invoke once and verify only +0x2C0 changes before the next message-box update.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SwitchMessagesOff	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	7bc50a02626ed1393a7d6be2f5c479e3c7111c4fde203116f7e04fa18cd7c0d9	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
116	GotoPlayerCamera	0x005342b0	A_GLOBAL_UI	0	No script arguments. Receiver/context and argCount are ignored; the global pointer at 0x008A9D3C is the callee receiver.	none	-	Unconditionally calls 0x004D2A50 CPlayer__GotoControlView(global 0x008A9D3C). The source-aligned callee selects the preferred first- or third-person control view.	Load global receiver, then make the single direct call; no local branch or write.	There is no null guard. A null or stale global is passed to a member body that reads receiver fields.	0x005342B6 -> 0x004D2A50 CPlayer__GotoControlView.	SRC_PLAYER_GOTO_CONTROL	Runtime reachability, exact global ownership, original handler spelling, and reconstruction parity.	On a copied runtime, invoke once for each preferred-view value while watching 0x008A9D3C and the current-camera transition; separately force a null copied global under a crash-contained harness.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GotoPlayerCamera	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	a2b12cd4a2c2da1930530ba0b6224623adabcf016785e031d405664d0d2b88ae	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
125	InJetMode	0x005380f0	E_TARGET_QUERIES	0	No script arguments. Requires target flags+0x34 bit 0x08; direct callee reads target+0x260, target+0xCC, global clock 0x00672FD0, and constant 0.5 at 0x005D85EC.	bool	0x005e4d50	Returns false when the type gate is clear. When set, the direct callee returns true only for state==2 and when elapsed<0.5 or the elapsed comparison is unordered (it tests x87 C0 only). The wrapper negates that callee result: for ordered values it is true iff state!=2 or elapsed>=0.5; state 2 with unordered elapsed returns false.	Default false; optional direct predicate call; set wrapper true only when the full predicate return is zero; allocate/canonicalize bool wrapper.	The callee's C0-only comparison treats unordered like less-than. Consequently state 2 with NaN elapsed makes the callee true and the wrapper false, not true. Allocation failure stores null after the predicate.	0x005380FC -> 0x00408120 state-2/recent-time predicate; allocator at 0x0053811D.	SRC_BE_STATE_ENUM	Intended gameplay interpretation of the 0.5-second exception, exact +0xCC timestamp owner, authored NaN reachability, and original handler spelling.	Probe all four pinned state values at elapsed 0, 0.499, 0.5, 1, and NaN in a copied runtime; compare this result with literal state==JET.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__InJetMode	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	7403e16966009511e3b8491d56bc5db8216673e5aea397590f29fc8fba871848	CORRECTED_AUDIT_FINDING	C0_ONLY_LESS_OR_UNORDERED;WRAPPER_NEGATES;UNORDERED_WRAPPER_FALSE
129	SetVelocity	0x00534340	B_TARGET_ACTIONS	1	argv[0] 16-byte vector via slot 0x44. Requires target flags+0x34 bit 0x10.	none	-	Forwards the decoder-returned vector pointer to target primary vslot 28 (+0x70). A pinned CActor override stores the value in mVelocity, but the handler is dynamically dispatched.	Target flag gate, vector decode, then dynamic SetVelocity-slot call.	Failed flag gate is silent. No null check protects the target, argv[0], decoder-return pointer, or dynamic slot.	VM vector getter; target primary slot 28, source-correlated SetVelocity(const FVector&).	SRC_THING_SET_VELOCITY_SLOT;SRC_ACTOR_SET_VELOCITY	All reachable concrete slot-28 overrides, fourth vector-word consumption, runtime reachability, and original handler spelling.	Enumerate reachable target vtables in a copied mission, invoke with a sentinel fourth word, and compare pre/post velocity storage and slot target per concrete class.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetVelocity	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	8424ecc9650447b88d705a99e3f636061903219b71ee029da1f4337422a45e4a	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
131	GetNumber	0x00535980	E_TARGET_QUERIES	0	No script arguments. Tests target flags+0x34 mask 0x00080000.	integer	0x005e4af8	Returns boxed 0 when the mask is clear; otherwise boxes the exact target+0x270 dword.	Default 0; mask test and optional field read; allocate integer wrapper; publish out.	No target null guard. Allocation failure stores null in out.	Allocator only at 0x005359A8.	-	Owning class and signedness/semantic name of +0x270, original handler spelling, and runtime range.	Use copied targets with the mask clear/set and +0x270 values 0, -1, and a high-bit sentinel; compare boxed dword bytes.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetNumber	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	050c36700f6453b24678a3124251822545dba528cf6328306552cf2d52d0ee9a	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
132	SpawnEscapePod	0x005371e0	F_ANIMATION_SPAWN	0	"No script arguments. Uses target+0x30 interface; calls interface slot 7 (+0x1C) with ""SpawnerF"", 1, position and matrix outputs, 0, 0."	none	-	After the interface call, allocates a 0xE8 CActor-shaped object, initializes bases/vtables, constructs a stack CInitThing, derives yaw and pitch from one matrix direction scaled by 100, and uses target position when each returned x/y/z comparison sets x87 C3 (equal to zero or unordered); one ordered nonzero component selects the returned position. It zeroes velocity xyz, sets descriptor constant 1.5 and neutral allegiance 2, then calls actor primary slot 9 Init.	Interface gate/call; actor allocation/base initialization/global link; CInitThing construction; direction-to-yaw/pitch arithmetic; all-zero-or-unordered position fallback; descriptor writes; actor Init dispatch.	Null interface or actor allocation returns silently. Interface success/result status is not checked. For each position component, unordered is treated like equality by the C3-only test; fallback occurs when all three are zero or unordered. Magnitude<=0 or unordered selects pitch 0. Several fourth/padding dwords remain byte-level unknowns.	Interface slot 7; allocator; OID init; particle-link global insertion; CInitThing ctor; Vec3 magnitude; optional acos; actor primary slot 9 Init.	SRC_ALLEGIANCE_ENUM;SRC_INIT_THING_CTOR;SRC_INIT_THING_LAYOUT	Original interface-slot identity/output contract, exact descriptor packing/fourth words, mixed ordered/NaN authored inputs, actor lifetime after Init, and original handler spelling.	In a copied runtime, instrument interface slot 7 and actor Init; return zero/nonzero/NaN positions and basis vectors, then capture the full descriptor and actor-list/lifetime effects.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SpawnEscapePod	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	664565c76e78c43570bb6a96fe3146a5f34a8fec870d3ca01437c97f5375bc7f	CORRECTED_AUDIT_FINDING	XYZ_C3_EQUAL_OR_UNORDERED;ALL_ZERO_OR_UNORDERED_FALLBACK
134	ResetSegmentHealth	0x005354c0	C_SEGMENTS	2	argv[0] string via slot 0x38; argv[1] float via slot 0x34. Requires target flag bit 0x10 and nonnull target+0x178 controller.	none	-	The callee resolves a named mesh part, reads part+0x88, uses it directly against the controller+0x04 segment-pointer array, writes the float to segment+0x0C then +0x10, and optionally recomputes controller+0x18.	Target/controller gates; decode float before string; mesh/name lookup; unchecked part+0x88 array index; null-entry test; +0x0C then +0x10 writes; optional metric recomputation.	Failed wrapper gates and null render interface/root mesh are silent. Missing name or a null selected segment prints a fatal error. The callee does not compare part+0x88 with controller+0x08 before reading controllerArray[index]; both writes remain when the metric root is null.	VM float getter; VM string getter; 0x005354F1 -> 0x004444B0 SetSegmentFields0C10ByName -> mesh lookup, optional metric summation/console.	-	Concrete meanings of +0x0C/+0x10/+0x18, validity guarantee for mesh part+0x88, out-of-range runtime consequence, and original handler spelling.	Use unequal pre-state fields and one input value on a copied segment; record write order, recursive metric input/output, and missing-name behavior.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__ResetSegmentHealth	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	aeb778e29b5953941890499cb6edfcefdb7fc5c303765a195cf5c3e458bb7c27	CORRECTED_AUDIT_FINDING	MESH_PART_88_INDEX;NO_LOCAL_CONTROLLER_COUNT_CHECK
143	IsOverWater	0x00538150	E_TARGET_QUERIES	0	No script arguments. Passes the context target directly to 0x004F3DE0.	bool	0x005e4d50	The source-aligned callee samples ground at target+0x1C and returns true exactly when global water height is less than sampled ground height; the wrapper canonicalizes that result.	Unconditional ground/water predicate call; allocate bool wrapper; publish out.	No target/type/null guard. NaN ordered comparison returns false. Allocation failure stores null after the terrain sample.	0x00538154 -> 0x004F3DE0 CThing__IsOverWater -> terrain-height sampler; allocator at 0x0053816E.	SRC_THING_OVER_WATER	Coordinate/height conventions behind the counterintuitive comparison, runtime terrain edge cases, and original handler spelling.	Probe copied points with ground below/equal/above water and a NaN sample; record raw heights and returned byte.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__IsOverWater	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	fdc84591059d2ec2aff370a0dd03d12985b376e1bbb125b64edba6e28c43b545	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
